objectid,description,identifier,latitude,longitude
9674,30th St & Shadeland Ave,51913,39.811151,-86.046939
9480,Brookside Ave & Oxford St,51611,39.793562,-86.114633
8779,25th St & Dearborn St,50457,39.803388,-86.112283
8951,Washington St & Woodland Dr,50724,39.769117,-86.105588
10150,Greenwood Mall Park & Ride,52953,39.634999,-86.122898
10051,Georgetown Rd & Potmac Square Dr,52791,39.874691,-86.244584
9756,College Ave & 66th St,52093,39.87573,-86.146159
7295,Mitthoefer Rd & Catalina Dr,10236,39.828552,-85.991177
8884,Washington St & Irwin St,50647,39.771685,-86.05204
8033,Thompson Rd & 09th Ave,11904,39.694415,-86.091411
7562,Ritter Ave & 13th St,10743,39.785145,-86.073718
7307,38th St & Wittfield St,10250,39.826029,-86.004869
7299,Mitthoefer Rd & Park Davis Dr,10240,39.820584,-85.991034
9028,Washington St & Tremont St,50817,39.765931,-86.199196
10410,English Ave & Kittley Ave,53461,39.76124,-86.05497
8932,Washington St & Sheridan Ave,50702,39.7714,-86.059951
10279,Emerson Ave & Churchman Ave,53250,39.71609,-86.082792
8042,Keystone Crossing - 8463 N,11917,39.910363,-86.114084
9033,Washington St & White River Pkwy W Dr,50823,39.767211,-86.185603
